N;drug_name;event_name;drug_id;event_id
1;Metipranolol;Mycosis fungoides of lymph nodes of head, face AND/OR neck;905531;138377
1;Apiospora montagnei allergenic extract;Periumbilical pain;40224189;40481920
1;Iodoquinol;Orf virus disease;928006;436333
1;Witch Hazel;Erythema infectiosum;959196;134569
1;common wasp venom protein;Overlapping malignant neoplasm of rectum, anus and anal canal;42801254;438090
1;abacavir;Gouty tophus;1736971;4299408
1;epidermophyton floccosum allergenic extract;Chronic disease;40222465;443783
1;palo verde pollen extract;Acquired stenosis of nasolacrimal duct;40161944;374357
1;lansoprazole;Congenital hemivertebra;929887;79930
1;Sucralfate;Idiopathic cyst of anterior chamber of eye;1036228;4275433
1;Sodium Ascorbate;Finding of limb structure;901318;138239
1;quinethazone;Amblyopia;19081320;376981
1;sodium citrate;Overlapping malignant neoplasm of urinary system;977968;73720
1;tapentadol;Posterior synechiae;19026459;440713
1;cyclothiazide;Closed fracture of humerus;19082886;441422
1;Fluoxymesterone;Continuous chronic alcoholism;1555887;436953
1;cefprozil;Abdominal pregnancy;1738366;193525
1;Pleospora betae allergenic extract;African histoplasmosis;40161344;434581
1;Haematonectria haematococca allergenic extract;Frontal lobe syndrome;40162033;377842
1;pneumococcal capsular polysaccharide type 9V vaccine;Dacryocystitis;40163710;439025
1;rizatriptan;Torsion of the ovary, ovarian pedicle or fallopian tube;1154077;201913
1;dexchlorpheniramine;Malignant neoplasm of spinal meninges;1188114;4181482
1;rescinnamine;Recurrent cholesteatoma of postmastoidectomy cavity;19062195;376704
1;chloroxylenol;Hypertrophy of salivary gland;949459;28461
1;bretylium;Cholesterin granuloma of middle ear and mastoid;19038998;40482461
1;sugar beet allergenic extract;Acute generalized peritonitis;40172566;193240
1;Streptococcus pneumoniae serotype 19F capsular antigen diphtheria CRM197 protein conjugate vaccine;Elbow stiff;528990;4093193
1;flounder allergenic extract;Vitreous prolapse;40172147;318766
1;salt grass pollen extract;Acute myocarditis associated with another disorder;40162204;320745
1;Protein C;Diseases of mitral and aortic valves;42801108;320416
1;Aloe Polysaccharide;Primary malignant neoplasm of gallbladder;958994;197806
1;Benzoate;Papilledema - optic disc edema due to raised intracranial pressure;711452;437876
1;milnacipran;Bilateral femoral hernia without obstruction AND without gangrene;19080226;194981
1;Griseofulvin;Chronic alcoholism in remission;1763779;439005
1;Yellow-Fever Virus Vaccine, 17D-204 strain;Retinal lattice degeneration;532274;319016
1;Timothy grass pollen extract;Closed fracture of ischium;40161488;80861
1;Naltrexone;Chondrocalcinosis of joint of pelvis;1714319;40483814
1;Pentazocine;Microgenia;1130585;434672
1;linezolid;Chronic viral hepatitis B with hepatitis D;1736887;192240
1;bexarotene;Chondrocalcinosis due to pyrophosphate crystals, of the pelvic region and thigh;1389888;433844
1;false ragweed pollen extract;Recurrent dislocation of hand;40161714;77962
1;papaya allergenic extract;Dysplasia of anus;40226671;76472
1;Meprobamate;Conjunctival diphtheria;702865;442552
1;esmolol;Disorder of branched-chain amino acid metabolism;19063575;439003
1;loblolly pine pollen extract;Malignant melanoma of skin of lower limb;40172266;139757
1;eastern yellow jacket venom protein;Insomnia disorder related to another mental disorder;42801267;439013
1;hydroxypropylcellulose;Refractory migraine;19002257;443615
1;profenamine;Benign paroxysmal positional vertigo;19050123;81878
1;Amyl Nitrite;Yabapox;1319051;444032
1;pamabrom;Rapidly progressive glomerulonephritis;1172206;196464
1;Glutaral;Nonunion of fracture;1761033;73574
1;Methamphetamine;Subdural hemorrhage following injury without open intracranial wound AND with prolonged loss of consciousness (more than 24 hours) AND return to pre-existing conscious level;704053;435391
1;cheat grass pollen extract;Tinea pedis;40161602;133141
1;beef allergenic extract;Postcoital bleeding;40170448;194093
1;Geotrichum candidum allergenic extract;Monoplegic cerebral palsy;40223799;442543
1;donepezil;Mesangiocapillary glomerulonephritis;715997;433257
1;Tranylcypromine;Lymphocytopenia;703470;441541
1;Trichlormethiazide;Xeroderma of eyelid;904639;132321
1;alkali blite pollen extract;Infective otitis externa due to erysipelas;40161558;4104689
1;peginterferon alfa-2a;Injury of chest wall;1714165;75128
1;Oxandrolone;Intraoperative floppy iris syndrome;1524769;436397
1;hops allergenic extract;Injury of abdomen;40172445;200588
1;Chlortetracycline;Villonodular synovitis of the upper arm;19095043;440499
1;Insulin, Protamine Lispro, Human;Open fracture of five ribs;1513876;74495
1;western yellow jacket venom protein;Kleptomania;42801306;434632
1;Rhizopus arrhizus allergenic extract;Gastrointestinal complication;19013225;200447
1;Levorotatory alkaloids of belladonna;Pylorospasm;1186385;194071
1;felbamate;Villonodular synovitis of the ankle and foot;795661;76789
1;ofatumumab;Disorder of oral soft tissues;40167582;139057
1;sweet potato allergenic extract;Stiff-man syndrome;40172590;379008
1;Penicillium italicum allergenic extract;Tinea nigra;40176125;134865
1;meningococcal group C polysaccharide;Carcinoma in situ of skin;509081;138996
1;troglitazone;Impairment level: better eye: near-total impairment: lesser eye: total impairment;1515249;372317
1;Phenylbutazone;Infantile hemiplegia;1135710;374336
1;firocoxib;Postoperative shock;40168262;200618
1;clidinium;Infection by Heterophyes heterophyes;950792;4119258
1;butamben;Viral enteritis;939726;196620
1;Aloe Polysaccharide;Subchronic catatonic schizophrenia;958994;433990
1;Lombard poplar pollen extract;Idiopathic myocarditis;40161316;317307
1;Nystatin;Acute gonococcal cystitis;922570;193140
1;Japanese black pine pollen extract;Closed fracture of distal end of radius;40173046;437116
1;candesartan;Injury of unknown intent due to fall from high man-made structure;1351557;441770
1;Carbon Monoxide;Mild nonproliferative diabetic retinopathy;19047756;378743
1;phenindamine;Uncomplicated arteriosclerotic dementia;1123534;439276
1;swordfish allergenic extract;Open fracture of scaphoid bone of wrist;40172594;77124
1;Deoxyribonucleases;Referred otalgia;915841;375825
1;Gadopentetate Dimeglumine;Post-laminectomy lordosis;19097468;442086
1;montelukast;Venezuelan equine encephalitis virus infection;1154161;438069
1;dezocine;Arthropathy in Behcet's syndrome of multiple sites;19088393;72399
1;sugar beet pollen extract;Amputated at ankle;40162054;4103641
1;salmon calcitonin;Anterior dislocation of lens;1537655;374956
1;bismuth subcitrate;Periprosthetic osteolysis;958134;40480077
1;Acidulated Phosphate Fluoride;Viral conjunctivitis;19091149;380038
1;Thiothixene;Malignant neoplasm of broad ligament of uterus;700465;40486213
1;prednisolone;Pertussis;1550557;257778
1;magnesium carbonate;Closed fracture of ankle;908464;75095
1;Ketoconazole;Open dislocation of patella;985708;78577
1;pneumococcal capsular polysaccharide type 4 vaccine;Chronic conjunctivitis;40163698;374036
1;Apiospora montagnei allergenic extract;Recurrent manic episodes, mild;40224189;438119
1;mackerel allergenic extract;Cervicovaginal cytology: High grade squamous intraepithelial lesion or carcinoma;40175863;443571
1;English sole allergenic extract;Reactive confusion;40176004;441540
1;guinea pig hair extract;Exostosis of external ear canal;40170808;381574
1;Acetylcysteine;Impairment level: better eye: profound impairment: lesser eye: near-total impairment;1139042;376693
1;Sodium Phosphate, Monobasic;Congenital anomaly of integument;990499;432725
1;Brewer's yeast allergenic extract;White piedra;40169482;132834
1;PYRIDOXINE DIPALMITATE;Allergic arthritis of the ankle and/or foot;42903728;74129
1;balsalazide;Injury of blood vessels of lower extremity;934262;321726
1;goat milk allergenic extract;Mechanical complication due to breast prosthesis;40175864;76002
1;alosetron;Recurrent dislocation of hip;948555;76199
1;Gonadorelin;Pregnancy test equivocal;19089810;4094911
1;methylbenzethonium;Stiff-man syndrome;19009686;379008
1;Daptomycin;Fracture of mandible, closed;1786617;380859
1;Racemethionine;Precerebral arterial occlusion;19060837;443239
1;orchard grass pollen extract;Benign neoplasm of soft tissues of head;40161896;444455
1;licorice allergenic extract;Epidemic vomiting syndrome;40226650;201218
1;Calcium gluceptate;Sepsis due to Pseudomonas;19058867;40491961
1;Piperonyl Butoxide;Postoperative shock;946340;200618
1;asparagus allergenic extract;Late effect of tendon injury;40170402;439968
1;insulin human, rDNA origin;Abducens nerve palsy;1588986;381572
1;valsartan;Hodgkin's disease, lymphocytic depletion of lymph nodes of head, face AND/OR neck;1308842;433161
1;Succinylcholine;Open fracture of T1-T6 level with spinal cord injury;836208;141972
1;sparfloxacin;Atypical squamous cells of undetermined significance on cervical Papanicolaou smear;1733765;434170
1;Sodium Phosphate, Monobasic;Lateral displacement of eye;990499;380405
1;coast sage pollen extract;Band-shaped keratopathy;40161573;436695
